Data Table for Weekly Deaths and Weekly % of ED Visits - The United States
Date generated: Wed Nov 06 2024 11:35:38 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Deaths,Weekly % of ED Visits,Death Data As Of
United States,Sep  3 2022,2926,3.24,Oct 31 2024
United States,Aug 27 2022,3050,3.66,Oct 31 2024
United States,Aug 20 2022,3166,3.93,Oct 31 2024
United States,Aug 13 2022,3284,4.16,Oct 31 2024
United States,Aug  6 2022,3373,4.53,Oct 31 2024
United States,Jul 30 2022,3401,4.88,Oct 31 2024
United States,Jul 23 2022,3226,5.01,Oct 31 2024
United States,Jul 16 2022,2929,4.78,Oct 31 2024
United States,Jul  9 2022,2588,4.56,Oct 31 2024
United States,Jul  2 2022,2420,3.94,Oct 31 2024
United States,Jun 25 2022,2329,3.52,Oct 31 2024
United States,Jun 18 2022,2194,3.14,Oct 31 2024
United States,Jun 11 2022,2139,2.98,Oct 31 2024
United States,Jun  4 2022,2007,3.02,Oct 31 2024
United States,May 28 2022,1940,2.78,Oct 31 2024
United States,May 21 2022,1742,2.55,Oct 31 2024
United States,May 14 2022,1676,2.31,Oct 31 2024
United States,May  7 2022,1433,1.82,Oct 31 2024
United States,Apr 30 2022,1426,1.39,Oct 31 2024
United States,Apr 23 2022,1345,1.1,Oct 31 2024
United States,Apr 16 2022,1410,0.85,Oct 31 2024
United States,Apr  9 2022,1552,0.66,Oct 31 2024
United States,Apr  2 2022,1908,0.55,Oct 31 2024
United States,Mar 26 2022,2505,0.53,Oct 31 2024
United States,Mar 19 2022,3127,0.57,Oct 31 2024
United States,Mar 12 2022,4404,0.71,Oct 31 2024
United States,Mar  5 2022,6041,0.99,Oct 31 2024
United States,Feb 26 2022,8290,1.52,Oct 31 2024
United States,Feb 19 2022,11566,2.34,Oct 31 2024
United States,Feb 12 2022,15317,3.71,Oct 31 2024
United States,Feb  5 2022,18756,5.95,Oct 31 2024
United States,Jan 29 2022,20966,8.84,Oct 31 2024
United States,Jan 22 2022,21335,11.74,Oct 31 2024
United States,Jan 15 2022,19078,13.39,Oct 31 2024
United States,Jan  8 2022,15125,13.77,Oct 31 2024
United States,Jan  1 2022,11677,12.25,Oct 31 2024
United States,Dec 25 2021,10458,8.34,Oct 31 2024
United States,Dec 18 2021,10250,5.18,Oct 31 2024
United States,Dec 11 2021,9734,4.71,Oct 31 2024
United States,Dec  4 2021,8781,4.29,Oct 31 2024
United States,Nov 27 2021,7886,3.99,Oct 31 2024
United States,Nov 20 2021,7310,3.47,Oct 31 2024
United States,Nov 13 2021,7159,3.08,Oct 31 2024
United States,Nov  6 2021,7287,2.77,Oct 31 2024
United States,Oct 30 2021,7960,2.74,Oct 31 2024
United States,Oct 23 2021,8941,2.84,Oct 31 2024
United States,Oct 16 2021,9878,3.24,Oct 31 2024
United States,Oct  9 2021,11180,3.65,Oct 31 2024
United States,Oct  2 2021,12830,4.01,Oct 31 2024
United States,Sep 25 2021,14347,4.67,Oct 31 2024
United States,Sep 18 2021,15211,5.52,Oct 31 2024
United States,Sep 11 2021,15417,6.37,Oct 31 2024
United States,Sep  4 2021,15493,6.92,Oct 31 2024
United States,Aug 28 2021,14174,7.17,Oct 31 2024
United States,Aug 21 2021,12181,7.09,Oct 31 2024
United States,Aug 14 2021,9406,6.47,Oct 31 2024
United States,Aug  7 2021,6484,5.55,Oct 31 2024
United States,Jul 31 2021,4105,4.22,Oct 31 2024
United States,Jul 24 2021,2760,2.85,Oct 31 2024
United States,Jul 17 2021,1991,1.78,Oct 31 2024
United States,Jul 10 2021,1645,1.16,Oct 31 2024
United States,Jul  3 2021,1543,0.84,Oct 31 2024
United States,Jun 26 2021,1635,0.68,Oct 31 2024
United States,Jun 19 2021,1776,0.64,Oct 31 2024
United States,Jun 12 2021,2035,0.71,Oct 31 2024
United States,Jun  5 2021,2347,0.85,Oct 31 2024
United States,May 29 2021,2770,1.09,Oct 31 2024
United States,May 22 2021,3238,1.33,Oct 31 2024
United States,May 15 2021,3678,1.61,Oct 31 2024
United States,May  8 2021,4006,1.96,Oct 31 2024
United States,May  1 2021,4165,2.23,Oct 31 2024
United States,Apr 24 2021,4601,2.54,Oct 31 2024
United States,Apr 17 2021,4450,2.78,Oct 31 2024
United States,Apr 10 2021,4313,2.74,Oct 31 2024
United States,Apr  3 2021,4197,2.61,Oct 31 2024
United States,Mar 27 2021,4461,2.31,Oct 31 2024
United States,Mar 20 2021,4893,2.07,Oct 31 2024
United States,Mar 13 2021,5725,1.94,Oct 31 2024
United States,Mar  6 2021,6731,1.98,Oct 31 2024
United States,Feb 27 2021,8654,2.23,Oct 31 2024
United States,Feb 20 2021,10807,2.64,Oct 31 2024
United States,Feb 13 2021,13519,3.17,Oct 31 2024
